country,ISO Country code,health expenditure % of GDP
Afghanistan,AFG,10.3
Albania,ALB,6.8
Algeria,DZA,7.1
Andorra,AND,12.0
Angola,AGO,2.9
Antigua & Barbuda,ATG,4.8
Argentina,ARG,2.9
Armenia,ARM,10.1
Australia,AUS,9.4
Austria,AUT,10.3
Azerbaijan,AZE,6.7
Bahamas,BHS,7.4
Bahrain,BHR,5.2
Bangladesh,BGD,2.6
Barbados,BRB,7.5
Belarus,BLR,6.1
Belgium,BEL,10.5
Belize,BLZ,6.2
Benin,BEN,4.0
Bhutan,BTN,3.5
Bolivia,BOL,6.4
Bosnia and Herzegovina,BIH,9.4
Botswana,BWA,6.0
Brazil,BRA,8.9
Brunei,BRN,2.6
Bulgaria,BGR,8.2
Burkina Faso,BFA,5.4
Burundi,BDI,8.2
Cabo Verde,CPV,4.9
Cambodia,KHM,6.0
Cameroon,CMR,5.1
Canada,CAN,10.4
Central African Republic,CAF,4.8
Chad,TCD,4.6
Chile,CHL,8.1
China,CHN,5.3
Colombia,COL,6.2
Comoros,COM,8.0
Congo (Dem. Rep.),COD,4.3
Congo (Rep.),COG,3.4
Costa Rica,CRI,8.1
Cote d'Ivoire,CIV,5.4
Croatia,HRV,7.4
Cuba,CUB,-
Cyprus,CYP,6.8
Czech Republic,CZE,7.3
Denmark,DNK,10.3
Djibouti,DJI,4.4
Dominica,DMA,5.4
Dominican Republic,DOM,6.2
Ecuador,ECU,6.8
Egypt,EGY,7.3
El Salvador,SLV,10.3
Equatorial Guinea,GNQ,4.4
Eritrea,ERI,5.4
Estonia,EST,6.2
Eswatini,SWZ,7.0
Ethiopia,ETH,4.0
Fiji,FJI,3.6
Finland,FIN,9.4
France,FRA,11.1
Gabon,GAB,2.7
"Gambia, The",GMB,6.6
Georgia,GEO,7.9
Germany,DEU,11.2
Ghana,GHA,5.9
Greece,GRC,8.4
Grenada,GRD,5.0
Guatemala,GTM,5.7
Guinea,GIN,4.5
Guinea-Bissau,GNB,6.9
Guyana,GUY,4.5
Haiti,HTI,6.9
Honduras,HND,7.6
Hungary,HUN,7.2
Iceland,ISL,8.6
India,IND,3.9
Indonesia,IDN,3.3
Iran,IRN,7.6
Iraq,IRQ,3.4
Ireland,IRL,7.8
Israel,ISR,7.4
Italy,ITA,9.0
Jamaica,JAM,5.9
Japan,JPN,10.9
Jordan,JOR,6.3
Kazakhstan,KAZ,3.9
Kenya,KEN,5.2
Kiribati,KIR,7.6
Korea (Dem. Peopleâ€™s Rep.),PRK,-
Korea (Rep.),KOR,7.4
Kosovo,-,-
Kuwait,KWT,4.0
Kyrgyzstan,KGZ,8.2
Laos,LAO,2.8
Latvia,LVA,5.8
Lebanon,LBN,7.4
Lesotho,LSO,8.4
Liberia,LBR,15.2
Libya,LBY,-
Liechtenstein,LIE,-
Lithuania,LTU,6.5
Luxembourg,LUX,6.0
Macedonia,MKD,6.1
Madagascar,MDG,5.2
Malawi,MWI,9.3
Malaysia,MYS,4.0
Maldives,MDV,11.5
Mali,MLI,5.8
Malta,MLT,9.6
Marshall Islands,MHL,22.1
Mauritania,MRT,4.6
Mauritius,MUS,5.5
Mexico,MEX,5.9
Micronesia,FSM,13.1
Moldova,MDA,10.2
Monaco,MCO,2.0
Mongolia,MNG,3.9
Montenegro,MNE,6.0
Morocco,MAR,5.5
Mozambique,MOZ,5.4
Myanmar,MMR,4.9
Namibia,NAM,8.9
Nauru,NRU,4.8
Nepal,NPL,6.1
Netherlands,NLD,10.7
New Zealand,NZL,9.3
Nicaragua,NIC,7.8
Niger,NER,7.2
Nigeria,NGA,3.6
Norway,NOR,10.0
Oman,OMN,2.7
Pakistan,PAK,2.7
Palau,PLW,10.6
Panama,PAN,7.0
Papua New Guinea,PNG,3.8
Paraguay,PRY,7.8
Peru,PER,5.3
Philippines,PHL,4.4
Poland,POL,6.3
Portugal,PRT,9.0
Qatar,QAT,2.7
Romania,ROU,10.6
Russia,RUS,7.0
Rwanda,RWA,3.8
Saint Kitts and Nevis,KNA,5.6
Saint Lucia,LCA,6.0
Saint Vincent and the Grenadines,VCT,4.2
Samoa,WSM,7.8
San Marino,SMR,5.3
Sao Tome and Principe,STP,4.4
Saudi Arabia,SAU,6.3
Senegal,SEN,9.0
Serbia,SRB,9.4
Seychelles,SYC,3.4
Sierra Leone,SLE,18.3
Singapore,SGP,4.3
Slovakia,SVK,6.9
Slovenia,SVN,8.5
Solomon Islands,SLB,8.0
Somalia,SOM,-
South Africa,ZAF,8.2
South Sudan,SSD,2.5
Spain,ESP,9.2
Sri Lanka,LKA,3.0
Sudan,SDN,6.3
Suriname,SUR,6.5
Sweden,SWE,11.0
Switzerland,CHE,12.1
Syria,SYR,-
Taiwan,TWN,6.9
Tajikistan,TJK,6.1
Tanzania,TZA,3.8
Thailand,THA,3.1
Timor-Leste,TLS,3.1
Togo,TGO,6.6
Tonga,TON,5.9
Trinidad and Tobago,TTO,6.0
Tunisia,TUN,6.7
Turkey,TUR,4.1
Turkmenistan,TKM,6.3
Tuvalu,TUV,15.0
Uganda,UGA,7.3
Ukraine,UKR,6.1
United Arab Emirates,ARE,3.5
United Kingdom,GBR,9.9
United States,USA,16.8
Uruguay,URY,9.2
Uzbekistan,UZB,6.2
Vanuatu,VUT,3.5
Venezuela,VEN,3.2
Vietnam,VNM,5.7
Yemen,YEM,6.0
Zambia,ZMB,5.4
Zimbabwe,ZWE,10.3
