country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Afghanistan,AFG,"36,000,000",4,"652,230",0.15745852980324224,,20.2,0.498,2.66,,64.1,1919.0,1.5,10.3,184.0,3.8,24.0,11.0,8.5,79.3,26.3,5,6,-2.78,-1.3,-1.3,-1.57,-1.52,28.2,26.2,17.9,91.8,51.3,10.0,27.7
Albania,ALB,"2,900,000",8,"27,398",0.6495061289282671,29.0,36.8,0.785,4.64,53.1,34.2,11840.0,2.6,6.8,774.0,,,16.0,16.3,72.7,30.1,3,3,0.4,0.1,0.2,-0.4,-0.42,25.4,39.9,54.1,85.1,64.5,70.0,27.9
Algeria,DZA,"41,000,000",12,"2,381,740",0.5883953814706786,35.3,33.3,0.754,5.25,45.8,612.5,15027.0,3.7,7.1,1031.0,,,14.0,11.2,45.9,42.5,6,5,-0.96,-0.6,-1.2,-0.86,-0.61,35.2,29.0,27.8,74.0,44.7,30.0,25.8
Andorra,AND,"77,000",20,468,0.8414023372287146,,,0.858,,,,,,12.0,5949.0,3.0,,,,,,1,1,1.45,1.9,1.2,1.6,1.24,,,,,,,32.1
Angola,AGO,"30,000,000",24,"1,246,700",0.3564035354363888,42.7,,0.581,,28.4,187.3,6844.0,3.0,2.9,196.0,,,10.0,6.6,69.1,32.1,6,6,-0.29,-1.0,-1.0,-1.1,-1.41,25.4,18.9,36.0,82.4,48.6,40.0,38.2
Antigua & Barbuda,ATG,"102,000",28,443,0.7111853088480803,,,0.78,,,,,,4.8,1105.0,,,14.0,,,,2,2,0.76,0.0,0.3,0.44,0.24,,,,,,,11.1
Argentina,ARG,"44,000,000",32,"2,736,690",0.656049998630168,41.7,35.2,0.825,6.04,57.3,874.1,20048.0,1.2,2.9,1390.0,5.4,657.0,17.0,6.6,55.6,38.5,2,2,0.18,0.2,-0.3,-0.25,-0.26,44.5,32.6,40.8,65.7,52.3,60.0,38.9
Armenia,ARM,"3,000,000",51,"28,203",0.5397054910023145,31.5,25.7,0.755,4.29,51.7,25.8,8621.0,3.0,10.1,883.0,2.2,90.0,13.0,16.8,80.0,25.8,5,4,-0.71,-0.1,0.3,-0.16,-0.56,47.4,40.5,55.3,84.7,68.7,70.0,18.1
Australia,AUS,"25,000,000",36,"7,682,300",0.7733302415156806,30.3,21.2,0.939,7.26,78.9,1187.3,48899.0,2.5,9.4,4492.0,5.2,3236.0,20.0,5.7,61.2,36.0,1,1,0.9,1.5,1.9,1.68,1.8,93.4,77.4,78.7,63.0,80.9,90.0,28.7
Austria,AUT,"9,000,000",40,"82,445",0.8255027006576914,30.5,30.5,0.908,7.29,80.3,417.2,48005.0,0.9,10.3,5138.0,5.4,2817.0,16.0,6.1,19.4,51.8,1,1,1.04,1.5,1.4,1.81,1.53,80.9,73.5,83.5,49.9,71.8,70.0,30.6
Azerbaijan,AZE,"10,000,000",31,"82,629",0.6003621109366212,33.7,,0.757,5.15,51.1,165.5,17439.0,1.1,6.7,1191.0,2.6,208.0,13.0,5.1,59.4,36.8,7,6,-0.76,-0.2,-0.3,-0.56,-0.88,36.8,39.9,53.6,87.5,64.3,60.0,16.8
Bahamas,BHS,"400,000",44,"10,010",0.6982169222306929,,,0.807,,60.4,9.0,24555.0,0.5,7.4,1699.0,,,,15.3,82.9,23.8,1,1,1.0,0.6,0.1,0.19,1.17,53.5,50.9,46.5,96.5,63.3,60.0,12.8
Bahrain,BHR,"1,300,000",48,760,0.7360089420274406,,,0.846,6.23,63.9,66.9,50704.0,3.2,5.2,2453.0,2.5,616.0,,1.3,66.4,33.4,7,6,-0.95,0.2,0.4,0.45,-0.14,55.1,51.8,62.1,99.9,67.7,80.0,7.5
Bangladesh,BGD,"165,000,000",50,"130,170",0.5206283956135974,32.1,38.4,0.608,4.31,35.3,628.4,3891.0,6.4,2.6,88.0,,,10.0,4.1,94.2,13.9,4,4,-1.25,-0.7,-0.8,-0.67,-0.83,32.6,21.2,32.4,72.7,55.1,30.0,20.3
Barbados,BRB,"300,000",52,430,0.6952640238547869,,,0.8,,60.8,4.8,17100.0,0.5,7.5,1234.0,6.2,1013.0,15.0,11.4,39.3,45.0,1,1,0.98,0.8,0.5,0.66,1.42,54.4,53.8,51.4,74.0,57.0,60.0,16.7
Belarus,BLR,"10,000,000",112,"202,900",0.630145510346332,26.5,21.7,0.808,5.55,59.9,171.0,18000.0,-3.9,6.1,1085.0,4.8,401.0,16.0,0.5,47.9,41.7,6,6,0.03,-0.4,-0.7,-0.82,-0.26,57.3,42.0,53.5,89.8,58.1,10.0,34.5
Belgium,BEL,"11,000,000",56,"30,278",0.7864130170800196,25.9,23.7,0.916,6.93,77.5,509.5,45047.0,1.4,10.5,4782.0,6.6,3124.0,20.0,8.3,12.1,54.1,1,1,0.42,1.2,1.2,1.34,1.5,69.5,70.9,81.2,44.0,67.5,70.0,38.0
Belize,BLZ,"400,000",84,"22,806",0.5725000924917202,,33.8,0.708,,48.5,3.1,8220.0,1.5,6.2,524.0,6.5,314.0,13.0,11.0,65.5,33.9,1,2,0.05,-0.6,-0.5,-0.96,-0.27,53.5,34.7,42.1,80.0,57.1,50.0,9.4
Benin,BEN,"11,000,000",204,"110,622",0.32957732363045955,36.5,13.4,0.515,4.85,34.5,23.6,2119.0,5.2,4.0,84.0,4.3,41.0,12.0,1.0,85.6,21.9,2,2,0.05,-0.6,-0.5,-0.62,-0.55,31.3,30.2,35.5,67.4,56.7,50.0,7.2
Bhutan,BTN,"800,000",64,"38,394",0.49816576689793485,38.8,28.6,0.612,,47.7,6.5,8227.0,7.7,3.5,287.0,5.9,148.0,13.0,2.4,72.2,30.5,3,4,1.13,0.6,-0.3,0.63,1.57,51.6,50.9,60.9,83.0,61.8,30.0,8.5
Bolivia,BOL,"11,000,000",68,"1,083,301",0.4595365464077183,47.0,23.3,0.693,5.65,44.8,78.7,7219.0,4.8,6.4,446.0,7.3,228.0,,3.7,46.5,42.2,3,3,-0.3,-0.4,-0.9,-1.21,-0.66,11.4,23.1,19.0,85.7,44.1,40.0,53.1
Bosnia and Herzegovina,BIH,"3,900,000",70,"51,187",0.5568920453294626,33.8,25.3,0.768,5.09,50.2,42.2,10958.0,2.8,9.4,1102.0,,,14.0,25.8,41.5,44.1,4,4,-0.38,-0.5,-0.2,-0.21,-0.52,43.7,28.4,39.5,83.5,61.4,60.0,21.4
Botswana,BWA,"2,200,000",72,"566,730",0.27219984825258187,60.5,16.6,0.717,3.5,44.1,36.7,17042.0,-0.3,6.0,970.0,,,13.0,18.4,63.4,34.9,3,2,1.03,0.4,0.5,0.51,0.8,54.7,56.6,57.7,76.1,69.9,70.0,9.5
Brazil,BRA,"209,000,000",76,"8,358,140",0.5867026919672121,49.0,34.3,0.759,6.33,51.6,3141.3,15242.0,-3.8,8.9,1392.0,5.9,715.0,15.0,11.5,50.7,40.5,2,2,-0.41,-0.3,-0.1,-0.28,-0.53,55.5,31.4,55.8,70.6,51.4,50.0,10.7
Brunei,BRN,"400,000",0,"5,265",0.8240419967769017,,,0.853,,72.5,32.5,76884.0,-0.2,2.6,2083.0,3.4,1393.0,15.0,2.0,57.7,37.5,6,5,1.19,1.1,0.7,0.65,0.71,57.1,45.4,56.6,85.6,64.2,50.0,9.1
Bulgaria,BGR,"7,000,000",100,"108,489",0.5531174048831937,40.2,20.4,0.813,,59.9,144.6,20327.0,3.0,8.2,1492.0,,,15.0,8.0,60.5,36.3,2,2,0.37,0.3,0.6,-0.04,-0.16,42.5,38.2,63.6,90.9,68.3,60.0,23.8
Burkina Faso,BFA,"19,000,000",854,"273,800",0.3010961649628741,39.5,17.9,0.423,4.65,33.4,32.8,1782.0,4.0,5.4,96.0,4.6,32.0,8.0,3.0,83.7,23.3,4,3,-0.92,-0.6,-0.4,-0.4,-0.11,47.1,31.8,42.1,80.6,60.0,40.0,11.0
Burundi,BDI,"11,000,000",108,"25,680",0.22231254121477942,42.4,15.6,0.417,,28.3,7.9,814.0,-4.1,8.2,64.0,,,11.0,1.6,78.6,26.7,7,6,-1.97,-1.3,-0.8,-1.4,-1.28,21.7,26.2,17.6,71.0,50.9,30.0,36.4
Cabo Verde,CPV,"500,000",0,"4,033",0.5008347245409016,,,0.654,,,3.5,6662.0,1.8,4.9,310.0,5.0,175.0,13.0,10.5,71.5,30.8,1,1,0.9,0.2,-0.2,0.41,0.84,52.0,42.8,42.1,74.0,60.0,60.0,23.6
Cambodia,KHM,"16,000,000",116,"176,515",0.42286121093968915,37.9,25.6,0.582,4.59,38.5,59.0,3737.0,6.9,6.0,210.0,1.9,21.0,11.0,0.3,86.5,21.2,6,5,0.17,-0.7,-0.5,-1.06,-1.29,24.5,17.7,36.0,89.8,58.7,50.0,20.3
Cameroon,CMR,"24,000,000",120,"472,710",0.32509704313936927,44.6,16.7,0.556,5.07,32.1,76.9,3249.0,5.9,5.1,163.0,,,12.0,4.5,86.1,21.6,6,6,-1.08,-0.8,-0.8,-1.02,-1.18,29.4,23.4,40.6,73.7,51.9,50.0,31.1
Canada,CAN,"37,000,000",124,"9,093,507",0.7397499934998664,32.1,23.9,0.926,,76.9,1682.4,46437.0,1.2,10.4,4600.0,,,,7.1,52.3,39.9,1,1,1.11,1.9,1.9,1.8,1.92,77.1,78.3,87.5,76.7,77.7,80.0,26.3
Central African Republic,CAF,"4,900,000",140,"622,984",0.1678867231610839,43.6,,0.367,3.48,16.1,3.2,652.0,4.3,4.8,32.0,,,7.0,6.9,94.6,13.4,7,7,-1.94,-1.8,-1.5,-1.73,-1.17,28.2,24.6,17.9,64.6,49.2,30.0,8.6
Chad,TCD,"15,000,000",148,"1,259,200",0.20269631055684395,43.3,12.8,0.404,4.56,20.4,29.0,2445.0,1.8,4.6,100.0,,,7.0,5.8,90.5,17.7,7,6,-1.34,-1.5,-1.2,-1.3,-1.43,24.1,23.1,25.1,44.8,49.3,40.0,12.8
Chile,CHL,"18,000,000",152,"743,812",0.6223505400693237,50.5,31.7,0.843,6.32,62.6,438.8,24113.0,2.1,8.1,1903.0,4.7,699.0,16.0,6.6,81.3,25.0,1,1,0.38,0.9,1.3,1.01,1.04,63.4,61.2,67.9,78.0,75.2,70.0,15.8
China,CHN,"1,386,000,000",156,"9,326,410",0.4926816128522895,46.5,25.7,0.752,5.1,50.8,21291.8,15399.0,6.9,5.3,762.0,,,14.0,4.6,71.6,30.7,7,6,-0.25,0.4,-0.2,-0.26,-0.27,65.4,47.3,46.7,70.4,57.8,20.0,24.2
Colombia,COL,"49,000,000",170,"1,038,700",0.6305217145531301,51.1,40.7,0.843,6.16,49.1,688.8,14130.0,3.1,6.2,853.0,4.7,369.0,14.0,9.9,74.4,29.2,3,3,-0.79,-0.1,0.3,-0.36,-0.37,36.4,33.4,60.7,80.3,68.9,70.0,18.7
Comoros,COM,"800,000",174,"2,235",0.3899415823655937,55.9,23.1,0.752,,,1.3,1529.0,1.0,8.0,121.0,4.9,41.0,11.0,20.0,77.8,27.2,3,4,0.03,-1.6,-1.0,-1.05,-0.68,28.2,27.5,36.7,59.7,56.2,30.0,6.1
Congo (Dem. Rep.),COD,"81,000,000",180,"2,267,048",0.28670330641972386,42.1,,0.457,4.31,24.8,65.0,773.0,7.7,4.3,34.0,,,9.0,3.6,94.8,13.2,7,6,-2.3,-1.6,-1.5,-1.69,-1.42,23.9,27.3,24.1,73.2,52.1,20.0,8.9
Congo (Rep.),COG,"4,500,000",178,"341,500",0.3277843747968615,48.9,18.8,0.606,4.88,32.7,29.8,6676.0,2.5,3.4,203.0,,,11.0,11.2,33.4,47.1,7,5,-0.53,-1.2,-1.3,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,30.0,11.3
Costa Rica,CRI,"4,900,000",188,"51,060",0.7222785824895184,48.5,44.7,0.794,7.23,58.9,80.7,16436.0,3.7,8.1,1286.0,6.9,729.0,15.0,9.0,88.9,19.3,1,1,0.51,0.3,0.5,0.45,0.47,57.8,51.8,54.8,79.3,65.6,50.0,35.1
Cote d'Ivoire,CIV,"24,000,000",384,"318,003",0.3998488886373452,41.5,14.4,0.794,5.04,30.5,87.8,3609.0,8.6,5.4,190.0,4.6,72.0,9.0,9.3,84.6,22.6,4,4,-1.09,-0.7,-0.4,-0.63,-0.52,44.2,36.6,39.4,76.4,62.0,50.0,10.6
Croatia,HRV,"4,200,000",191,"55,974",0.6747241753577198,30.8,30.2,0.831,5.34,64.5,95.1,22795.0,1.6,7.4,1656.0,,,15.0,13.5,32.5,47.4,1,2,0.75,0.6,0.4,0.33,0.19,56.5,40.5,65.9,66.0,61.0,60.0,18.5
Cuba,CUB,"11,000,000",192,"109,820",0.7061769616026711,,,0.777,,,142.0,12390.0,4.3,,,,,14.0,2.9,0.0,62.4,7,6,0.69,-0.2,-1.3,-0.43,0.27,10.0,38.1,29.7,49.0,31.9,10.0,48.9
Cyprus,CYP,"800,000",196,"9,241",0.7026632028308302,34.8,30.7,0.869,6.06,65.9,29.7,34970.0,1.6,6.8,2137.0,,,15.0,11.7,52.9,39.6,1,1,0.6,0.9,1.0,0.88,0.78,56.7,41.3,71.2,75.2,67.8,60.0,17.9
Czech Republic,CZE,"11,000,000",203,"77,247",0.7364742945525973,,27.3,0.888,6.79,71.1,350.7,33232.0,4.2,7.3,2470.0,,,17.0,4.0,48.6,41.4,1,1,1.02,1.0,1.2,1.12,0.57,57.9,51.1,73.0,82.9,74.2,80.0,20.0
Denmark,DNK,"6,000,000",208,"42,434",0.8704166914799764,29.0,32.7,0.929,7.59,82.0,273.9,47985.0,1.2,10.3,5083.0,,,19.0,6.1,10.6,54.6,1,1,0.87,1.8,1.6,1.86,2.19,83.6,84.1,84.8,41.4,76.6,80.0,37.4
Djibouti,DJI,"1,000,000",262,"23,180",0.291341817518923,40.9,16.4,0.476,,,3.3,3370.0,6.5,4.4,147.0,,,6.0,6.6,27.2,49.3,6,5,-0.71,-1.0,-0.6,-0.91,-0.64,13.8,29.0,19.0,69.8,45.1,50.0,10.8
Dominica,DMA,"100,000",212,751,0.6026711185308847,,,0.715,,,0.8,11375.0,-4.3,5.4,586.0,,,,,64.8,34.2,1,1,1.04,-0.3,0.1,0.65,0.65,69.2,49.9,48.6,72.9,64.5,30.0,25.0
Dominican Republic,DOM,"11,000,000",214,"48,320",0.5252590739099495,47.1,30.3,0.736,5.61,48.1,161.8,16050.0,7.0,6.2,873.0,,,13.0,14.4,90.6,17.7,3,3,0.16,-0.4,-0.1,-0.42,-0.74,23.1,26.2,51.7,84.6,61.6,40.0,26.8
Ecuador,ECU,"17,000,000",218,"276,841",0.5875744421626362,45.9,37.0,0.752,5.84,48.1,183.6,11109.0,0.0,6.8,980.0,,,15.0,5.4,52.5,39.8,3,3,-0.1,-0.3,-1.0,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,40.0,38.0
Egypt,EGY,"98,000,000",818,"995,450",0.46770318708293185,31.8,23.8,0.696,3.93,43.1,1132.4,12554.0,4.2,7.3,495.0,,,13.0,12.0,65.1,34.1,6,6,-1.42,-0.6,-0.9,-0.53,-0.54,52.5,32.2,32.7,84.2,53.4,50.0,14.9
El Salvador,SLV,"6,000,000",222,"20,721",0.6191456283379747,36.0,35.6,0.674,6.34,47.2,54.8,8909.0,2.4,10.3,578.0,3.4,124.0,13.0,6.3,86.3,21.3,2,3,-0.25,-0.4,-0.2,-0.86,-0.51,35.4,25.2,37.3,78.9,63.2,60.0,32.1
Equatorial Guinea,GNQ,"800,000",226,"28,051",0.39565943238731216,,,0.591,,,31.7,38639.0,-12.2,4.4,790.0,,,,7.3,61.0,36.1,7,7,-0.15,-1.4,-1.4,-1.49,-1.83,17.6,26.2,29.8,69.6,42.0,30.0,24.0
Eritrea,ERI,"5,000,000",232,"101,000",0.1435726210350584,,,0.44,,,9.2,1410.0,4.8,5.4,56.0,,,5.0,7.3,75.6,28.5,7,7,-0.66,-1.7,-2.2,-1.56,-1.2,13.8,23.4,35.5,79.9,41.7,20.0,22.0
Estonia,EST,"1,300,000",233,"42,388",0.6325636859023751,34.8,17.9,0.871,5.94,70.8,38.5,29313.0,1.1,6.2,1887.0,,,16.0,6.9,52.6,39.8,1,1,0.66,1.1,1.6,1.28,1.24,83.9,75.7,80.4,80.7,78.8,80.0,26.7
Eswatini,SWZ,"1,100,000",0,"17,204",0.26509686119150166,50.4,15.5,0.588,,,11.1,9776.0,1.7,7.0,,,,11.0,25.3,65.2,34.1,7,6,-0.3,-0.6,-0.6,-0.29,-0.3,35.3,26.9,55.3,74.8,55.9,40.0,6.2
Ethiopia,ETH,"105,000,000",231,"1,000,000",0.38062139391431715,33.0,26.7,0.463,4.18,32.3,177.5,1946.0,10.2,4.0,66.0,,,8.0,5.7,90.6,17.7,7,6,-1.69,-0.7,-1.0,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,20.0,38.8
Fiji,FJI,"900,000",242,"18,274",0.5607551603346619,,,0.741,,49.0,8.3,9268.0,4.3,3.6,331.0,,,,7.9,68.2,32.6,3,3,0.79,0.1,-0.2,-0.25,0.36,47.1,34.8,68.3,81.4,62.0,50.0,16.0
Finland,FIN,"6,000,000",246,"303,815",0.8734084032335288,27.2,31.3,0.92,7.79,81.3,231.4,42165.0,0.4,9.4,3669.0,7.2,3570.0,19.0,9.0,2.3,57.1,1,1,1.07,1.9,1.8,2.03,2.22,82.7,89.8,89.0,66.5,74.1,80.0,42.0
