country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Nicaragua,NIC,"6,000,000",558,"119,990",0.5725035760034399,47.1,38.7,0.658,6.48,43.5,33.6,5452.0,4.5,7.8,406.0,,,,5.9,80.0,25.8,5,4,-0.05,-0.6,-0.7,-0.64,-0.87,19.0,24.2,29.8,77.2,58.9,50.0,45.7
Niger,NER,"21,000,000",562,"1,266,700",0.30936453158322486,34.0,16.8,0.354,4.62,,20.1,1107.0,4.0,7.2,68.0,6.7,29.0,5.0,2.6,72.9,30.1,4,4,-1.3,-0.7,-0.7,-0.68,-0.65,32.6,30.4,37.4,73.3,49.5,40.0,17.0
Nigeria,NGA,"191,000,000",566,"910,768",0.32412806376309566,48.8,22.2,0.532,5.32,26.5,1091.2,5942.0,2.7,3.6,215.0,,,9.0,5.0,96.3,11.0,3,5,-1.94,-1.0,-0.9,-0.87,-1.07,39.6,14.4,38.0,84.4,58.5,40.0,5.6
Norway,NOR,"5,000,000",578,"304,282",0.9242830849328127,26.8,36.8,0.953,7.58,85.3,364.4,69250.0,1.6,10.0,6222.0,7.7,7466.0,18.0,4.8,29.2,48.6,1,1,1.15,2.0,1.8,2.02,2.24,86.0,93.6,86.4,56.4,74.3,60.0,39.6
Oman,OMN,"4,000,000",512,"309,500",0.5681868977897873,,21.1,0.821,,62.1,184.8,46698.0,4.1,2.7,1636.0,,,14.0,17.5,25.0,50.0,6,5,0.74,0.2,0.4,0.43,0.25,57.4,51.5,59.5,98.5,61.0,60.0,1.2
Pakistan,PAK,"197,000,000",586,"770,875",0.5068812519955006,30.7,31.5,0.562,5.83,27.9,988.2,5106.0,4.2,2.7,134.0,2.5,32.0,8.0,5.9,88.2,19.8,4,5,-2.4,-0.6,-0.6,-0.72,-0.78,34.0,27.3,36.0,78.5,54.4,40.0,20.6
Palau,PLW,"22,000",585,459,0.7412353923205343,,,0.798,,,,,,10.6,1611.0,,,17.0,,,,1,1,0.94,-0.2,-0.6,0.28,-0.47,,,,,,,12.5
Panama,PAN,"4,000,000",591,"74,340",0.6385594953721454,50.7,39.5,0.789,6.57,54.5,92.9,23024.0,5.8,7.0,1543.0,,,13.0,5.8,84.1,23.1,2,2,0.39,0.0,0.4,0.04,-0.54,29.4,38.8,60.9,85.0,67.0,70.0,18.3
Papua New Guinea,PNG,"8,000,000",598,"452,860",0.3123476627712855,50.9,,0.544,,,28.0,3541.0,9.0,3.8,99.0,,,,2.5,82.0,24.5,3,3,-0.58,-0.7,-0.7,-0.82,-0.9,55.1,33.1,38.0,71.1,55.7,30.0,0.0
Paraguay,PRY,"7,000,000",600,"397,302",0.4081482459372539,51.7,23.3,0.702,,46.2,64.4,9396.0,3.0,7.8,724.0,,,12.0,5.4,82.2,24.4,3,3,0.12,-0.8,-0.2,-0.65,-0.72,28.2,28.3,38.3,96.1,62.1,60.0,13.8
Peru,PER,"32,000,000",604,"1,279,996",0.5732596225579691,45.3,34.6,0.75,5.71,49.3,406.2,12903.0,3.3,5.3,671.0,3.7,240.0,13.0,4.9,85.6,21.9,2,3,-0.26,-0.1,0.4,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,60.0,27.7
Philippines,PHL,"105,000,000",608,"298,170",0.5446878839711325,44.4,35.0,0.699,5.59,44.5,805.2,7728.0,5.8,4.4,323.0,,,13.0,5.9,89.3,18.9,3,3,-1.24,-0.1,0.0,-0.41,-0.48,38.2,34.4,45.0,78.9,65.0,60.0,29.5
Poland,POL,"38,000,000",616,"304,255",0.7119253494479673,30.8,27.5,0.865,6.2,67.7,1054.1,27764.0,3.6,6.3,1704.0,4.9,705.0,16.0,6.2,47.8,41.7,1,2,0.52,0.6,0.9,0.47,0.73,56.6,50.9,61.8,75.9,68.5,70.0,28.0
Portugal,PRT,"10,000,000",620,"91,470",0.6633436567990544,33.9,24.8,0.847,5.71,70.8,298.7,28933.0,1.5,9.0,2661.0,5.1,1131.0,17.0,11.2,29.8,48.4,1,1,1.08,1.3,0.9,1.13,0.87,70.1,56.8,69.2,59.8,63.4,60.0,34.8
Qatar,QAT,"2,600,000",634,"11,586",0.8142629334053868,,,0.856,,70.8,329.2,127660.0,3.3,2.7,3900.0,3.6,3131.0,13.0,0.2,60.2,36.4,6,5,0.55,0.7,0.4,0.72,0.73,59.8,71.6,70.3,99.6,72.6,60.0,0.0
Romania,ROU,"20,000,000",642,"229,891",0.6930029352984738,27.3,28.8,0.811,6.09,60.0,441.6,22348.0,3.7,10.6,1090.0,3.1,313.0,15.0,6.4,66.9,33.2,2,2,0.06,-0.2,0.5,0.39,-0.03,59.7,40.0,61.0,87.3,69.4,50.0,20.7
Russia,RUS,"144,000,000",643,"16,377,742",0.5332959392008512,41.2,18.7,0.816,5.58,57.0,3799.7,26490.0,-3.7,7.0,1414.0,,,15.0,5.7,62.5,35.3,7,6,-0.67,-0.1,-0.5,-0.79,-0.89,46.9,38.1,48.7,85.8,58.2,30.0,15.8
Rwanda,RWA,"12,000,000",646,"24,668",0.28336161913661106,50.4,19.6,0.524,,38.0,22.8,1977.0,6.9,3.8,143.0,,,11.0,2.5,77.7,27.2,6,6,0.04,0.3,0.2,0.13,0.63,79.6,61.2,69.8,75.8,69.1,40.0,61.3
Saint Kitts and Nevis,KNA,"55,000",659,261,0.7078464106844743,,,0.778,,,,,,5.6,1443.0,,,,,,,1,1,0.64,0.6,0.6,0.53,0.51,,,,,,,13.3
Saint Lucia,LCA,"200,000",662,606,0.6560934891485809,,,0.747,,,2.1,11783.0,1.6,6.0,681.0,4.3,381.0,,19.8,72.4,30.3,1,1,1.15,0.3,0.3,0.6,0.59,69.2,50.9,67.9,75.5,67.6,40.0,16.7
Saint Vincent and the Grenadines,VCT,"100,000",0,389,0.6160267111853089,,,0.723,,,1.2,11271.0,1.6,4.2,470.0,,,,19.3,72.7,30.1,1,1,0.9,0.3,0.3,0.43,0.72,69.2,51.5,36.7,72.7,67.7,40.0,13.0
Samoa,WSM,"200,000",882,"2,821",0.5993322203672787,,,0.713,,,1.1,5553.0,1.7,7.8,336.0,,,,7.2,55.1,38.7,2,2,1.2,0.6,-0.1,0.87,0.66,38.8,40.1,53.1,79.9,61.5,30.0,10.0
San Marino,SMR,"33,000",674,61,,,,,,,,,,5.3,3675.0,,,15.0,,,,1,1,0.94,,,,,,,,,,,26.7
Sao Tome and Principe,STP,"200,000",678,964,0.601160267111853,30.8,,0.589,,,0.6,3072.0,4.0,4.4,308.0,3.7,68.0,13.0,13.6,69.5,31.9,2,2,0.22,-0.8,-0.8,-0.68,0.14,28.2,39.4,38.0,82.0,53.6,30.0,18.2
Saudi Arabia,SAU,"33,000,000",682,"2,149,690",0.6612806872300153,45.9,,0.853,6.29,62.6,1750.9,55158.0,3.4,6.3,3121.0,,,16.0,5.5,52.0,40.0,7,7,-0.62,0.3,0.0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,50.0,19.9
Senegal,SEN,"16,000,000",686,"192,530",0.36517395750569753,40.3,21.9,0.505,4.68,38.4,39.7,2577.0,6.5,9.0,97.0,7.4,78.0,9.0,9.5,72.7,30.2,2,2,-0.04,-0.3,-0.2,-0.15,-0.09,40.4,42.6,41.3,68.5,55.7,40.0,41.8
Serbia,SRB,"7,000,000",688,"77,474",0.5766868496754999,38.7,29.0,0.787,5.12,54.9,101.8,14493.0,0.7,9.4,1324.0,4.2,259.0,15.0,16.5,40.6,44.5,3,2,0.1,0.2,0.0,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,50.0,34.4
Seychelles,SYC,"100,000",690,455,0.6804766132378628,,,0.797,,59.1,2.6,27602.0,4.4,3.4,867.0,,,14.0,,63.0,35.1,3,3,0.68,0.4,-0.2,0.1,0.68,38.8,38.8,60.7,73.4,61.6,30.0,21.2
Sierra Leone,SLE,"8,000,000",694,"71,620",0.287682219878894,34.0,15.3,0.419,4.09,32.9,10.8,1672.0,-21.5,18.3,256.0,2.7,19.0,,3.0,89.8,18.4,3,3,0.03,-1.2,-0.9,-0.79,-0.59,29.6,22.0,33.6,79.9,51.8,20.0,12.4
Singapore,SGP,"6,000,000",702,709,0.7680024333576163,45.9,,0.932,6.38,81.8,492.6,87855.0,2.0,4.3,3681.0,,,13.0,1.8,90.6,17.7,4,4,1.59,2.2,2.1,1.82,2.13,90.9,91.2,98.4,90.4,88.8,80.0,23.0
Slovakia,SVK,"5,000,000",703,"48,105",0.7542357943066731,23.7,28.2,0.855,6.37,67.4,170.1,31339.0,3.6,6.9,2062.0,4.2,788.0,15.0,10.0,44.3,43.1,1,1,0.88,0.8,0.8,0.57,0.22,38.8,38.2,68.2,78.9,65.3,70.0,20.0
Slovenia,SVN,"2,100,000",705,"20,151",0.7490863746410354,24.4,24.6,0.896,6.17,72.6,66.2,32085.0,2.9,8.5,2734.0,5.3,1281.0,17.0,8.7,31.2,47.9,1,1,0.89,1.2,0.6,1.02,0.81,57.7,52.1,76.6,58.7,64.8,50.0,36.7
Solomon Islands,SLB,"600,000",90,"27,986",0.320534223706177,,,0.546,,,1.2,1973.0,3.3,8.0,173.0,,,,31.4,35.6,46.3,3,2,0.21,-1.0,-0.8,-0.21,0.11,57.3,36.8,49.4,65.5,57.5,30.0,2.0
Somalia,SOM,"15,000,000",706,"627,337",,,,,,,5.9,,3.7,,,,,,6.6,,,7,7,-2.33,-2.2,-2.3,-2.31,-1.72,25.4,17.8,33.1,,,,24.4
South Africa,ZAF,"57,000,000",710,"1,214,470",0.27499236404986954,62.5,15.9,0.699,4.51,38.5,739.4,13225.0,1.3,8.2,1086.0,6.0,389.0,13.0,25.9,68.1,32.6,2,2,-0.27,0.3,0.2,-0.01,-0.01,65.9,45.4,67.7,62.5,63.0,50.0,42.0
South Sudan,SSD,"13,000,000",728,"644,329",0.1726501175339882,46.0,,0.388,2.82,,,,,2.5,71.0,1.7,22.0,,,,,7,7,-2.46,-2.5,-1.9,-1.94,-1.71,,,,,,,28.5
Spain,ESP,"47,000,000",724,"498,980",0.7614173223494334,35.9,36.0,0.891,6.23,71.8,1686.9,36416.0,3.2,9.2,3183.0,4.3,1268.0,18.0,19.4,42.8,43.7,1,1,0.27,1.0,0.9,1.01,0.49,62.0,51.5,73.1,62.0,65.1,70.0,39.1
Sri Lanka,LKA,"21,000,000",144,"64,630",0.5516205753133466,39.2,33.8,0.77,4.33,49.3,260.6,12262.0,5.2,3.0,353.0,1.9,74.0,14.0,5.0,89.3,18.9,3,4,-0.06,-0.2,-0.1,0.06,-0.45,52.0,30.7,46.5,84.9,57.8,40.0,5.8
Sudan,SDN,"41,000,000",729,"1,861,484",0.19868374072394263,,,0.502,,26.5,176.1,4447.0,3.5,6.3,277.0,,,7.0,13.3,95.3,12.5,7,7,-2.01,-1.4,-0.6,-1.11,-1.54,21.4,21.2,27.8,85.9,49.4,20.0,30.5
Suriname,SUR,"600,000",740,"156,000",0.5116348080209182,,25.4,0.72,,52.7,7.9,13988.0,0.1,6.5,1017.0,,,,10.0,76.4,28.1,2,2,0.14,-0.6,-0.5,-0.15,-0.17,21.4,39.9,39.7,71.4,48.1,30.0,25.5
Sweden,SWE,"10,000,000",752,"410,335",0.8508002423321314,24.9,28.0,0.933,7.29,81.9,498.1,49836.0,4.1,11.0,5299.0,7.7,4546.0,18.0,7.1,23.2,50.6,1,1,0.98,1.8,1.8,1.94,2.14,88.2,92.9,92.6,43.9,76.3,80.0,43.6
Switzerland,CHE,"8,000,000",756,"39,997",0.8834803362533966,29.5,34.3,0.944,7.47,83.8,496.0,59561.0,0.9,12.1,7583.0,5.1,4375.0,16.0,4.6,65.4,34.0,1,1,1.21,2.1,1.9,1.93,1.99,82.1,82.8,84.2,70.5,81.7,90.0,32.5
Syria,SYR,"18,000,000",0,"183,630",0.2506659479487757,,19.1,0.536,,,21.0,,-4.8,,,,,9.0,14.3,,,7,7,-2.63,-1.8,-1.8,-2.09,-1.56,22.1,23.1,36.7,,,,13.2
Taiwan,TWN,"24,000,000",0,"32,260",0.7306237816764132,33.6,,,6.36,,1132.1,48095.0,0.7,6.9,,,,,4.0,90.4,17.8,1,1,0.89,1.27,1.37,1.14,0.96,69.2,70.9,84.3,76.1,76.6,60.0,
Tajikistan,TJK,"9,000,000",762,"141,510",0.5824197792211759,32.6,34.2,0.65,5.83,41.3,26.0,3008.0,3.0,6.1,193.0,,,11.0,10.8,71.4,30.9,7,6,-0.67,-1.1,-1.1,-1.35,-1.33,50.3,38.2,46.8,91.8,58.3,30.0,19.0
Tanzania,TZA,"57,000,000",0,"885,800",0.33215797190407215,37.6,22.1,0.538,3.35,36.0,149.8,3080.0,7.0,3.8,96.0,3.5,32.0,8.0,2.6,89.8,18.5,4,4,-0.58,-0.6,-0.6,-0.45,-0.48,34.7,31.8,38.0,79.8,59.9,50.0,36.4
Thailand,THA,"69,000,000",764,"510,890",0.6137833704969874,44.5,37.3,0.755,5.94,52.4,1164.9,16888.0,2.8,3.1,610.0,,,16.0,0.6,85.5,22.0,6,5,-0.76,0.4,0.1,0.04,-0.39,45.3,34.7,48.6,81.3,67.1,60.0,4.8
Timor-Leste,TLS,"1,200,000",626,"14,874",0.6174603505843073,31.9,,0.625,,,5.0,4187.0,4.3,3.1,141.0,,,13.0,4.0,30.9,48.0,2,3,0.03,-1.0,-0.7,-1.17,-0.54,13.8,32.0,29.9,97.4,48.1,20.0,32.3
Togo,TGO,"8,000,000",768,"54,385",0.25886948286284045,46.0,13.2,0.503,4.36,34.9,11.6,1550.0,5.3,6.6,96.0,4.9,30.0,12.0,6.8,73.3,29.8,4,4,-0.74,-1.1,-0.8,-0.71,-0.71,28.2,31.4,32.7,64.3,47.8,30.0,17.6
Tonga,TON,"100,000",776,717,0.6210350584307179,,,0.726,,,0.6,5387.0,2.6,5.9,324.0,,,,4.9,68.7,32.3,2,2,0.79,-0.2,-0.4,0.31,-0.16,25.4,40.5,62.1,85.4,63.1,20.0,3.8
Trinidad and Tobago,TTO,"1,400,000",780,"5,128",0.5281220735734852,,15.7,0.784,6.19,58.7,43.6,31870.0,-1.8,6.0,2204.0,,,,3.9,54.4,39.0,2,2,0.29,0.3,0.0,-0.11,-0.36,49.8,33.1,54.9,83.5,57.7,50.0,31.0
Tunisia,TUN,"12,000,000",788,"155,360",0.48009839441648505,40.0,26.2,0.735,4.12,49.3,130.6,11634.0,0.8,6.7,774.0,,,15.0,14.8,75.5,28.6,2,3,-1.05,-0.1,-0.4,0.07,-0.11,41.7,36.8,49.4,73.0,58.9,30.0,31.3
Turkey,TUR,"81,000,000",792,"769,632",0.5687005048855795,40.2,26.4,0.791,5.61,53.3,1988.3,24912.0,3.8,4.1,996.0,4.4,530.0,16.0,10.3,68.1,32.6,5,6,-1.8,0.1,0.0,-0.25,-0.19,54.5,42.0,54.7,74.7,65.4,60.0,14.6
Turkmenistan,TKM,"6,000,000",795,"469,930",0.4262617669881137,40.8,14.6,0.706,5.23,,95.5,17485.0,6.5,6.3,1004.0,,,11.0,8.6,92.2,16.1,7,7,-0.15,-1.2,-2.0,-1.49,-1.48,5.0,27.3,29.8,95.9,47.1,10.0,25.8
Tuvalu,TUV,"11,000",798,26,,,,,,,,,,15.0,523.0,,,,,,,1,1,1.27,-0.7,-0.8,0.56,0.06,,,,,,,6.7
Uganda,UGA,"43,000,000",800,"197,100",0.30898574246884347,39.5,19.4,0.516,4.0,30.9,85.0,2068.0,5.0,7.3,139.0,2.3,16.0,10.0,2.3,90.9,17.4,6,4,-0.56,-0.6,-0.2,-0.3,-1.04,40.3,28.3,43.5,73.0,62.0,40.0,34.3
Ukraine,UKR,"45,000,000",804,"579,330",0.5758505122942547,25.5,26.4,0.751,4.31,52.5,353.0,8305.0,-9.9,6.1,469.0,5.9,173.0,15.0,8.9,45.0,42.8,3,3,-1.89,-0.5,-0.3,-0.71,-0.78,29.5,29.0,41.0,80.2,51.9,30.0,12.3
United Arab Emirates,ARE,"9,000,000",784,"83,600",0.8294109443844095,,,0.863,7.04,70.4,668.9,67871.0,3.9,3.5,2426.0,,,,3.7,70.9,31.2,7,6,0.63,1.4,1.0,0.8,1.13,83.4,77.3,76.3,98.4,77.6,60.0,22.5
United Kingdom,GBR,"66,000,000",826,"241,930",0.8055731917071107,32.4,31.9,0.922,7.1,74.6,2785.6,42481.0,2.2,9.9,4145.0,5.7,2664.0,18.0,4.8,44.4,43.0,1,1,0.26,1.4,1.7,1.68,1.84,93.8,79.0,92.2,65.2,78.0,80.0,32.0
United States,USA,"326,000,000",840,"9,147,593",0.6727792793523801,45.0,20.7,0.924,6.99,76.0,18569.1,57436.0,2.4,16.8,9536.0,5.0,2729.0,17.0,4.9,56.5,38.1,2,1,0.3,1.6,1.6,1.64,1.38,76.9,71.9,79.3,65.1,75.7,80.0,19.4
Uruguay,URY,"3,500,000",858,"175,015",0.686819048679976,41.6,36.1,0.804,6.34,64.2,74.9,21527.0,1.5,9.2,1748.0,,,16.0,8.2,68.6,32.4,1,1,1.06,0.4,0.7,0.59,1.29,67.0,71.6,69.3,78.0,69.2,30.0,20.2
Uzbekistan,UZB,"32,000,000",860,"425,400",0.577682508029185,36.8,29.1,0.71,6.42,43.1,205.7,6563.0,8.0,6.2,383.0,,,12.0,8.9,65.5,33.9,7,7,-0.28,-0.6,-1.3,-1.11,-1.16,35.3,24.2,48.7,91.0,51.5,10.0,16.0
Vanuatu,VUT,"300,000",548,"12,189",0.6435830878004616,,40.6,0.603,,,0.7,2631.0,-0.8,3.5,106.0,4.9,3.0,,5.4,78.5,26.8,2,2,0.71,-0.9,-0.3,0.49,0.01,47.1,75.4,67.9,97.0,69.5,40.0,0.0
Venezuela,VEN,"32,000,000",862,"882,050",0.5816692010633265,39.0,33.6,0.761,,43.1,427.0,13761.0,-5.7,3.2,579.0,,,14.0,6.9,57.3,37.7,6,5,-1.18,-1.4,-2.0,-2.26,-1.36,13.8,7.5,5.2,72.5,25.2,10.0,22.2
Vietnam,VNM,"96,000,000",704,"310,070",0.6264709620421808,34.8,40.3,0.694,5.18,50.8,595.5,6429.0,6.7,5.7,334.0,,,,2.2,74.0,29.4,7,5,0.31,0.0,-0.4,0.07,-0.58,36.3,30.4,46.4,79.7,53.1,40.0,26.7
Yemen,YEM,"28,000,000",887,"527,968",0.267462428687124,37.9,22.8,0.452,3.25,23.9,69.2,2375.0,-28.1,6.0,144.0,,,,17.1,80.9,25.2,7,6,-2.96,-1.9,-1.5,-1.75,-1.59,16.6,21.2,17.9,,,,0.0
Zambia,ZMB,"17,000,000",894,"743,398",0.2833077996200658,57.5,25.2,0.588,3.93,33.2,64.9,3880.0,3.6,5.4,203.0,,,,7.5,80.2,25.7,4,4,0.11,-0.6,-0.5,-0.33,-0.54,40.6,36.3,46.0,72.1,54.3,50.0,18.0
Zimbabwe,ZWE,"17,000,000",716,"386,847",0.2962542528544315,43.2,22.1,0.535,3.64,29.7,28.6,1970.0,1.5,10.3,182.0,7.5,78.0,10.0,5.1,72.0,30.6,6,5,-0.77,-1.2,-1.6,-1.38,-1.27,33.0,18.9,27.6,61.1,44.0,10.0,32.6
